대해구 번호,경도,위도
1,131.75,42.75
2,130.25,42.25
3,130.75,42.25
4,131.25,42.25
5,131.75,42.25
6,129.75,41.75
7,130.25,41.75
8,130.75,41.75
9,131.25,41.75
10,131.75,41.75
11,129.75,41.25
12,130.25,41.25
13,130.75,41.25
14,131.25,41.25
15,131.75,41.25
16,129.25,40.75
17,129.75,40.75
18,130.25,40.75
19,130.75,40.75
20,131.25,40.75
21,131.75,40.75
22,128.75,40.25
23,129.25,40.25
24,129.75,40.25
25,130.25,40.25
26,130.75,40.25
27,131.25,40.25
28,131.75,40.25
29,127.75,39.75
30,128.25,39.75
31,128.75,39.75
32,129.25,39.75
33,129.75,39.75
34,130.25,39.75
35,130.75,39.75
36,131.25,39.75
37,131.75,39.75
38,127.75,39.25
39,128.25,39.25
40,128.75,39.25
41,129.25,39.25
42,129.75,39.25
43,130.25,39.25
44,130.75,39.25
45,131.25,39.25
46,131.75,39.25
47,128.25,38.75
48,128.75,38.75
49,129.25,38.75
50,129.75,38.75
51,130.25,38.75
52,130.75,38.75
53,131.25,38.75
54,131.75,38.75
55,128.75,38.25
56,129.25,38.25
57,129.75,38.25
58,130.25,38.25
59,130.75,38.25
60,131.25,38.25
61,131.75,38.25
62,128.75,37.75
63,129.25,37.75
64,129.75,37.75
65,130.25,37.75
66,130.75,37.75
67,131.25,37.75
68,131.75,37.75
69,129.25,37.25
70,129.75,37.25
71,130.25,37.25
72,130.75,37.25
73,131.25,37.25
74,131.75,37.25
75,129.25,36.75
76,129.75,36.75
77,130.25,36.75
78,130.75,36.75
79,131.25,36.75
80,131.75,36.75
81,129.25,36.25
82,129.75,36.25
83,130.25,36.25
84,130.75,36.25
85,131.25,36.25
86,131.75,36.25
87,129.75,35.75
88,130.25,35.75
89,130.75,35.75
90,131.25,35.75
91,131.75,35.75
92,129.25,35.25
93,129.75,35.25
94,130.25,35.25
95,130.75,35.25
96,131.25,35.25
97,127.75,34.75
98,128.25,34.75
99,128.75,34.75
100,129.25,34.75
101,129.75,34.75
102,130.25,34.75
103,130.75,34.75
104,127.75,34.25
105,128.25,34.25
106,128.75,34.25
107,129.25,34.25
108,129.75,34.25
109,130.25,34.25
110,127.75,33.75
111,128.25,33.75
112,128.75,33.75
113,127.75,33.25
114,128.25,33.25
115,127.75,32.75
116,123.25,39.75
117,123.75,39.75
118,124.25,39.75
119,122.75,39.25
120,123.25,39.25
121,123.75,39.25
122,124.25,39.25
123,124.75,39.25
124,125.25,39.25
125,122.25,38.75
126,122.75,38.75
127,123.25,38.75
128,123.75,38.75
129,124.25,38.75
130,124.75,38.75
131,121.75,38.25
132,122.25,38.25
133,122.75,38.25
134,123.25,38.25
135,123.75,38.25
136,124.25,38.25
137,124.75,38.25
138,121.75,37.75
139,122.25,37.75
140,122.75,37.75
141,123.25,37.75
142,123.75,37.75
143,124.25,37.75
144,124.75,37.75
145,125.25,37.75
146,125.75,37.75
147,122.75,37.25
148,123.25,37.25
149,123.75,37.25
150,124.25,37.25
151,124.75,37.25
152,125.25,37.25
153,125.75,37.25
154,126.25,37.25
155,121.75,36.75
156,122.25,36.75
157,122.75,36.75
158,123.25,36.75
159,123.75,36.75
160,124.25,36.75
161,124.75,36.75
162,125.25,36.75
163,125.75,36.75
164,126.25,36.75
165,121.75,36.25
166,122.25,36.25
167,122.75,36.25
168,123.25,36.25
169,123.75,36.25
170,124.25,36.25
171,124.75,36.25
172,125.25,36.25
173,125.75,36.25
174,126.25,36.25
175,121.75,35.75
176,122.25,35.75
177,122.75,35.75
178,123.25,35.75
179,123.75,35.75
180,124.25,35.75
181,124.75,35.75
182,125.25,35.75
183,125.75,35.75
184,126.25,35.75
185,121.75,35.25
186,122.25,35.25
187,122.75,35.25
188,123.25,35.25
189,123.75,35.25
190,124.25,35.25
191,124.75,35.25
192,125.25,35.25
193,125.75,35.25
194,126.25,35.25
195,121.75,34.75
196,122.25,34.75
197,122.75,34.75
198,123.25,34.75
199,123.75,34.75
200,124.25,34.75
201,124.75,34.75
202,125.25,34.75
203,125.75,34.75
204,126.25,34.75
205,122.75,34.25
206,123.25,34.25
207,123.75,34.25
208,124.25,34.25
209,124.75,34.25
210,125.25,34.25
211,125.75,34.25
212,126.25,34.25
213,126.75,34.25
214,127.25,34.25
215,122.75,33.75
216,123.25,33.75
217,123.75,33.75
218,124.25,33.75
219,124.75,33.75
220,125.25,33.75
221,125.75,33.75
222,126.25,33.75
223,126.75,33.75
224,127.25,33.75
225,122.75,33.25
226,123.25,33.25
227,123.75,33.25
228,124.25,33.25
229,124.75,33.25
230,125.25,33.25
231,125.75,33.25
232,126.25,33.25
233,126.75,33.25
234,127.25,33.25
235,122.75,32.75
236,123.25,32.75
237,123.75,32.75
238,124.25,32.75
239,124.75,32.75
240,125.25,32.75
241,125.75,32.75
242,126.25,32.75
243,126.75,32.75
244,127.25,32.75
245,122.75,32.25
246,123.25,32.25
247,123.75,32.25
248,124.25,32.25
249,124.75,32.25
250,125.25,32.25
251,125.75,32.25
252,126.25,32.25
253,126.75,32.25
254,127.25,32.25
258,135.25,28.25
259,135.75,28.25
260,136.25,28.25
261,136.75,28.25
262,137.25,28.25
263,137.75,28.25
264,135.25,27.75
265,135.75,27.75
266,136.25,27.75
267,136.75,27.75
268,137.25,27.75
269,137.75,27.75
270,135.25,27.25
271,135.75,27.25
272,136.25,27.25
273,136.75,27.25
274,137.25,27.25
275,137.75,27.25
276,135.25,26.75
277,135.75,26.75
278,136.25,26.75
279,136.75,26.75
280,137.25,26.75
281,137.75,26.75
282,135.25,26.25
283,135.75,26.25
284,136.25,26.25
285,136.75,26.25
286,137.25,26.25
287,137.75,26.25
288,135.25,25.75
289,135.75,25.75
290,136.25,25.75
291,136.75,25.75
292,137.25,25.75
293,137.75,25.75
294,135.25,25.25
295,135.75,25.25
296,136.25,25.25
297,136.75,25.25
298,137.25,25.25
299,137.75,25.25
302,132.25,42.75
303,132.75,42.75
304,133.25,42.75
305,133.75,42.75
306,132.25,42.25
307,132.75,42.25
308,133.25,42.25
309,133.75,42.25
310,132.25,41.75
311,132.75,41.75
312,133.25,41.75
313,133.75,41.75
314,132.25,41.25
315,132.75,41.25
316,133.25,41.25
317,133.75,41.25
318,132.25,40.75
319,132.75,40.75
320,133.25,40.75
321,133.75,40.75
322,132.25,40.25
323,132.75,40.25
324,133.25,40.25
325,133.75,40.25
326,132.25,39.75
327,132.75,39.75
328,133.25,39.75
329,133.75,39.75
330,132.25,39.25
331,132.75,39.25
332,133.25,39.25
333,133.75,39.25
334,132.25,38.75
335,132.75,38.75
336,133.25,38.75
337,133.75,38.75
338,132.25,38.25
339,132.75,38.25
340,133.25,38.25
341,133.75,38.25
342,132.25,37.75
343,132.75,37.75
344,133.25,37.75
345,133.75,37.75
346,132.25,37.25
347,132.75,37.25
348,133.25,37.25
349,133.75,37.25
350,132.25,36.75
351,132.75,36.75
352,133.25,36.75
353,133.75,36.75
354,132.25,36.25
355,132.75,36.25
356,133.25,36.25
357,133.75,36.25
358,132.25,35.75
359,132.75,35.75
360,133.25,35.75
361,133.75,35.75
362,131.75,35.25
363,132.25,35.25
365,131.25,34.75
366,131.75,34.75
367,130.75,34.25
368,129.25,33.75
369,129.75,33.75
370,130.25,33.75
371,128.75,33.25
372,129.25,33.25
373,129.75,33.25
374,128.25,32.75
375,128.75,32.75
376,129.25,32.75
377,129.75,32.75
378,127.75,32.25
379,128.25,32.25
380,128.75,32.25
381,129.25,32.25
382,129.75,32.25
383,130.25,32.25
384,133.75,34.75
385,134.25,34.75
386,134.75,34.75
387,135.25,34.75
388,136.75,34.75
389,137.25,34.75
390,137.75,34.75
391,132.25,34.25
392,132.75,34.25
393,133.25,34.25
394,133.75,34.25
395,134.25,34.25
396,134.75,34.25
397,135.25,34.25
398,136.25,34.25
399,136.75,34.25
400,137.25,34.25
401,121.75,34.25
402,122.25,34.25
403,121.75,33.75
404,122.25,33.75
405,121.75,33.25
406,122.25,33.25
407,122.25,32.75
408,122.25,32.25
409,137.75,34.25
411,131.25,33.75
412,131.75,33.75
413,132.25,33.75
414,132.75,33.75
415,134.75,33.75
416,135.25,33.75
417,136.25,33.75
418,136.75,33.75
419,137.25,33.75
420,137.75,33.75
421,132.25,33.25
422,133.75,33.25
423,134.25,33.25
424,134.75,33.25
425,135.25,33.25
426,135.75,33.25
427,136.25,33.25
428,136.75,33.25
429,137.25,33.25
430,137.75,33.25
432,132.25,32.75
433,132.75,32.75
434,133.25,32.75
435,133.75,32.75
436,134.25,32.75
437,134.75,32.75
438,135.25,32.75
439,135.75,32.75
440,136.25,32.75
441,136.75,32.75
442,137.25,32.75
443,137.75,32.75
444,131.75,32.25
445,132.25,32.25
446,132.75,32.25
447,133.25,32.25
448,133.75,32.25
449,134.25,32.25
450,134.75,32.25
451,135.25,32.25
452,135.75,32.25
453,136.25,32.25
454,136.75,32.25
455,137.25,32.25
456,137.75,32.25
457,122.25,31.75
458,122.75,31.75
459,123.25,31.75
460,123.75,31.75
461,124.25,31.75
462,124.75,31.75
463,125.25,31.75
464,125.75,31.75
465,126.25,31.75
466,126.75,31.75
467,127.25,31.75
468,127.75,31.75
469,128.25,31.75
470,128.75,31.75
471,129.25,31.75
472,129.75,31.75
473,131.25,31.75
474,131.75,31.75
475,132.25,31.75
476,132.75,31.75
477,133.25,31.75
478,133.75,31.75
479,134.25,31.75
480,134.75,31.75
481,135.25,31.75
482,135.75,31.75
483,136.25,31.75
484,136.75,31.75
485,137.25,31.75
486,137.75,31.75
487,122.25,31.25
488,122.75,31.25
489,123.25,31.25
490,123.75,31.25
491,124.25,31.25
492,124.75,31.25
493,125.25,31.25
494,125.75,31.25
495,126.25,31.25
496,126.75,31.25
497,127.25,31.25
498,127.75,31.25
499,128.25,31.25
500,128.75,31.25
501,129.25,31.25
502,129.75,31.25
503,130.25,31.25
504,130.75,31.25
505,131.25,31.25
506,131.75,31.25
507,132.25,31.25
